No.,Time,Source,Destination,Protocol,Length,Info,attack_probability,prediction,confidence
15,0.067469,2.17.161.67,192.168.100.130,QUIC,63,Protected Payload (KP0),0.931376,ATTACK,0.931376
16,0.067469,2.17.161.67,192.168.100.130,QUIC,112,Protected Payload (KP0),0.931376,ATTACK,0.931376
17,0.067469,2.17.161.67,192.168.100.130,QUIC,65,Protected Payload (KP0),0.931376,ATTACK,0.931376
18,0.067729,192.168.100.130,2.17.161.67,QUIC,73,"Protected Payload (KP0), DCID=48c6591b3940fd2b",0.931376,ATTACK,0.931376
19,0.076921,2.17.161.67,192.168.100.130,QUIC,67,Protected Payload (KP0),0.931376,ATTACK,0.931376
20,0.289444,192.168.100.130,2.17.161.67,QUIC,71,"Protected Payload (KP0), DCID=48c6591b3940fd2b",0.931376,ATTACK,0.931376
21,0.301342,2.17.161.67,192.168.100.130,QUIC,67,Protected Payload (KP0),0.931376,ATTACK,0.931376
22,0.436163,192.168.100.130,162.254.196.80,TLSv1.2,108,Application Data,0.931376,ATTACK,0.931376
23,0.515519,192.168.100.130,2.17.161.67,QUIC,71,"Protected Payload (KP0), DCID=48c6591b3940fd2b",0.931376,ATTACK,0.931376
24,0.558798,2.17.161.67,192.168.100.130,QUIC,68,Protected Payload (KP0),0.931376,ATTACK,0.931376
25,0.574354,162.254.196.80,192.168.100.130,TCP,60,27019  >  27183 [ACK] Seq=1 Ack=55 Win=2772 Len=0,0.931376,ATTACK,0.931376
26,0.774254,192.168.100.130,2.17.161.67,QUIC,71,"Protected Payload (KP0), DCID=48c6591b3940fd2b",0.931376,ATTACK,0.931376
27,0.81294,2.17.161.67,192.168.100.130,QUIC,68,Protected Payload (KP0),0.931376,ATTACK,0.931376
28,1.016295,192.168.100.130,2.17.161.67,QUIC,71,"Protected Payload (KP0), DCID=48c6591b3940fd2b",0.931376,ATTACK,0.931376
29,1.053599,2.17.161.67,192.168.100.130,QUIC,68,Protected Payload (KP0),0.931376,ATTACK,0.931376
30,1.260007,192.168.100.130,2.17.161.67,QUIC,71,"Protected Payload (KP0), DCID=48c6591b3940fd2b",0.931376,ATTACK,0.931376
31,1.322904,192.168.100.130,2.17.161.67,QUIC,71,"Protected Payload (KP0), DCID=48c6591b3940fd2b",0.931376,ATTACK,0.931376
